symbol,level_type,side,horizon_minutes,pairs,mean_excess_bps,median_excess_bps,mean_excess_ci95_low,mean_excess_ci95_high
BTCUSDT,confirmed_1h_swing_high,short,5,174,2.3585422051588294,3.4663330130035863,-1.4549886412841235,5.785048140278586
BTCUSDT,confirmed_1h_swing_high,short,15,174,4.559771959487599,6.603402264525049,-1.8662113530633742,10.736377766623795
BTCUSDT,confirmed_1h_swing_high,short,60,174,13.602904605485994,4.807806429479866,2.0721688916901297,24.990918198500864
BTCUSDT,confirmed_1h_swing_low,long,5,156,2.4906954642934327,4.858616276692818,-1.4187189940779155,6.425455890684907
BTCUSDT,confirmed_1h_swing_low,long,15,156,-0.3094443466276589,2.184654168779776,-7.065186994444684,6.186473942150755
BTCUSDT,confirmed_1h_swing_low,long,60,156,7.012915418539996,7.741993880306387,-5.350226989798562,18.876525652140554
BTCUSDT,previous_day_high,short,5,50,-2.4627127019886785,1.9642935885239021,-13.073653893589187,6.564064137229493
BTCUSDT,previous_day_high,short,15,50,-1.123329246130056,4.862187632833635,-15.901032674024284,11.504817026055811
BTCUSDT,previous_day_high,short,60,50,-11.124081833585509,4.067740920577489,-37.64322761630124,13.46923540001151
BTCUSDT,previous_day_low,long,5,43,-0.5995076087563361,-1.025142411208435,-9.722360196864235,9.413103507365683
BTCUSDT,previous_day_low,long,15,43,-0.4857878014891251,5.766778817106744,-13.747836052880753,12.996552003606787
BTCUSDT,previous_day_low,long,60,43,-10.030496378998132,0.48070824792523226,-42.757976735592045,18.828634640497597
BTCUSDT,session_vwap,long,5,3376,0.3073789341443354,0.10770159391215728,-0.3584958473182909,0.9645020350171897
BTCUSDT,session_vwap,long,15,3376,0.11549301538566478,0.7057846718916405,-1.0070879531544308,1.2176195232124434
BTCUSDT,session_vwap,long,60,3376,1.3429156870536498,1.5444489975335873,-0.7820187841199112,3.4738511934537932
BTCUSDT,session_vwap,short,5,3294,-0.37841208246917757,-0.34812018035179637,-1.099696573906215,0.342442260023491
BTCUSDT,session_vwap,short,15,3294,-0.42893296663526503,-0.5906793355181517,-1.5058397722283268,0.6879594255852057
BTCUSDT,session_vwap,short,60,3294,-0.31979990238505945,-0.8444480970759569,-2.6146409629057312,2.0234903695239597
ETHUSDT,confirmed_1h_swing_high,short,5,178,0.9623157556877334,0.13261191309177356,-3.475064874790358,5.451112638086107
ETHUSDT,confirmed_1h_swing_high,short,15,178,-0.3693546288436826,2.854668622275236,-8.262940673017201,7.452441409857662
ETHUSDT,confirmed_1h_swing_high,short,60,178,1.8423772719924492,-0.3053226282706536,-11.951396852139629,16.270955200552752
ETHUSDT,confirmed_1h_swing_low,long,5,180,-2.3056034659479794,2.9732045322639085,-11.27195527423549,5.906860688000932
ETHUSDT,confirmed_1h_swing_low,long,15,180,-9.288696457291751,-4.897642436276772,-27.950373888545656,5.500445995114987
ETHUSDT,confirmed_1h_swing_low,long,60,180,-14.130133455869116,-3.3888090781075686,-36.190382272542756,6.556337365142296
ETHUSDT,previous_day_high,short,5,44,0.07801833752424808,2.5376550095684847,-11.86918072529989,12.04677561799445
ETHUSDT,previous_day_high,short,15,44,-5.9042465247843605,-6.095424757424084,-28.85656034660416,16.378290923263524
ETHUSDT,previous_day_high,short,60,44,18.215793655681058,11.15929544394767,-15.092158837052892,51.03293090847042
ETHUSDT,previous_day_low,long,5,56,-8.36216902441888,-0.6088394437453459,-31.879974104917363,12.716099434726907
ETHUSDT,previous_day_low,long,15,56,-16.05737075867273,-0.2345197532205372,-54.56231859505892,14.768015551576424
ETHUSDT,previous_day_low,long,60,56,-62.121226334810004,-10.858903413329408,-114.60273684471153,-15.054586912147037
ETHUSDT,session_vwap,long,5,3559,-0.03294304294699897,-0.14080586732134748,-1.0723467302176377,0.9611282063079106
ETHUSDT,session_vwap,long,15,3559,0.544384349060922,-0.5561211671623045,-1.1682152022688728,2.260716215456795
ETHUSDT,session_vwap,long,60,3559,1.1810569967408915,0.7954969197054993,-2.245648457791402,4.490776961427327
ETHUSDT,session_vwap,short,5,3521,-0.6591169588162613,-0.9148667158132007,-1.7265475993670398,0.33687690497735784
ETHUSDT,session_vwap,short,15,3521,-0.4327693753151068,-0.5655527254266843,-2.1171697155978273,1.2559753299396639
ETHUSDT,session_vwap,short,60,3521,-1.545513641413728,-1.3085412411029118,-4.964872587840125,2.093797175433248
