side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.61,1739145600000,1740434520000,2626.595214,2619.6954002939306,2511.487162278776,stop,-18.008513772841084,6.846409251653579,13.558562398557001,-38.41348542305166,21482.0
short,2.683,1741564800000,1741598220000,2018.936132,2130.6707682493907,2130.2447193055295,stop,-299.78402905711505,5.566697656684557,-0.14330077394999996,-305.2074259398496,557.0
short,3.394,1750392000000,1750716660000,2515.656768,2398.6949336861476,2601.241504034799,stop,396.96846566121457,8.339654837761394,-1.1109941318205998,389.7398049552737,5411.0
long,3.681,1752033600000,1753340700000,2590.938084,3511.043398634848,2525.041604394522,stop,3386.907663170876,11.230696918789437,48.370716268077594,3327.306249984009,21785.0
short,2.941,1754049600000,1754316120000,3640.311792,3633.1637839653395,3777.0100398984578,stop,21.022291629936547,10.695645834457032,-3.9225721339027997,14.249217929382315,4442.0
short,2.958,1757260800000,1757511960000,4296.310566,4406.951931524378,4406.070717380901,stop,-327.27715922110946,12.872125233838556,-6.405449621848802,-333.7438348330992,4186.0
long,2.809,1757606400000,1757926020000,4411.28208,4529.596599283136,4309.895278442148,stop,332.3454846663295,12.557464105053166,10.735571161494901,309.0524493997815,5327.0
short,2.835,1758427200000,1759097100000,4475.224776,4090.621155790434,4565.023184595769,stop,1090.35126329412,12.14208660831294,-5.751072294282,1083.9602489800889,11165.0
short,2.799,1761206400000,1761478920000,3878.9840480000003,4034.9007660692796,4034.0939472798236,stop,-436.41089387591285,11.075481797289957,-4.386113383361399,-443.1002622898414,4542.0
short,4.421,1764576000000,1764687840000,2837.862314,2933.7597852402528,2933.173150610131,stop,-423.96272035315764,12.75817065037058,-1.2400907904596998,-435.4808002130685,1864.0
