side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.61,1739133000000,1739137740000,2643.1004599999997,2523.341295116497,2525.8671622787756,stop,-312.5714203459422,6.742206490427028,0.0,-319.3136268363692,79.0
short,2.607,1741552200000,1742236860000,2040.4175400000001,1951.7946319349303,2153.4947193055295,stop,231.03992132563712,5.203848566117182,-2.1273812648616,227.96345402438155,11411.0
short,3.483,1750379400000,1750710180000,2519.32815,2355.85879591865,2606.931504034799,stop,569.3637602653422,8.490138066317328,-1.1401274487717004,562.0137496477967,5513.0
long,3.815,1752021000000,1753302900000,2605.79319,3539.9222820366203,2537.811604394522,stop,3563.702486119707,11.722952262909853,48.74767152172401,3503.231862335073,21365.0
short,3.073,1754037000000,1754316120000,3600.37602,3628.4921638025444,3739.9600398984576,stop,-86.40090990521841,11.107155964412609,-4.0986277346083995,-93.40943813502261,4652.0
short,3.072,1757248200000,1757511960000,4290.24546,4407.844158098282,4403.440717380901,stop,-361.2632005579211,13.360265653398962,-7.092563014963201,-367.53090319635686,4396.0
long,2.866,1757593800000,1757593800000,4476.131659999999,4366.794113163706,4371.1652784421485,stop,-313.36140923281533,12.67191263294359,0.0,-326.0333218657589,0.0
short,2.8,1758414600000,1759091700000,4470.40512,4057.8069483465547,4563.803184595769,stop,1155.2748806296477,11.939496895685178,-5.680071401759999,1149.0154551357225,11285.0
short,2.778,1761193800000,1761284940000,3824.78139,3986.9168812271027,3982.9339472798233,stop,-450.41239462889115,10.850448898734445,-1.1030014216662,-460.1598421059594,1519.0
short,4.38,1764563400000,1764686700000,2804.44275,2904.8851337607407,2901.983150610131,stop,-439.9376408720436,12.503428065436022,-2.1929656139039997,-450.2481033235756,2055.0
