side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.681,1739104200000,1739137500000,2657.6549999999997,2540.8872122507323,2543.430642893626,stop,-313.054438955786,6.968645835522107,0.356911835504,-320.3799966268121,555.0
short,2.742,1741539600000,1742214600000,2045.9619900000002,1945.704570434185,2153.5550193055296,stop,274.90584444946563,5.472574854355268,-2.0430631684596,271.47633276357,11250.0
short,3.541,1750350600000,1750709880000,2496.61089,2342.370164288746,2583.153850499015,stop,546.1664097435506,8.567415956618223,-1.8859666503423997,539.4849604372748,5988.0
long,3.81,1752006600000,1753290480000,2614.0013899999994,3554.3235562333616,2547.120175823093,stop,3582.62745334911,11.750659022574553,49.172082880047,3521.7047114464885,21398.0
short,3.291,1754008200000,1754315220000,3685.02129,3614.0090883023627,3816.0400968137237,stop,233.7011557869249,12.010554487496538,-4.5230323735506,226.21363367297894,5117.0
short,3.142,1757233800000,1757512020000,4302.673019999999,4419.973246498282,4415.557688809473,stop,-368.55731165760335,13.7032772846688,-7.2541774065802,-375.00641153569194,4637.0
long,2.97,1757579400000,1757593800000,4431.89747,4325.254280292278,4329.583864156434,stop,-316.7302734319339,13.004370349184033,0.0,-329.73464378111794,240.0
short,2.869,1758400200000,1759075620000,4477.72779,4049.650210923213,4569.063713167197,stop,1228.1545743713023,12.23252374232435,-5.515286995138,1221.4373376241158,11257.0
short,2.9,1761179400000,1761280440000,3802.00419,3961.959320027103,3958.001318708395,stop,-463.869877078598,11.257747089539299,-1.1514413689099998,-473.9761827992273,1684.0
short,4.614,1764550800000,1764687780000,2831.98518,2920.07936154224,2927.378150610131,stop,-406.4665536358943,13.27001289733795,-2.3101240508111998,-417.426442482421,2283.0
long,4.321,1766982600000,1767001020000,3046.4734299999996,2980.36078713164,2983.344131262903,stop,-285.6727298341821,13.020975326112907,1.1081170415951997,-299.8018222018902,307.0
