side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.655,1739106000000,1739137740000,2654.63082,2540.9597635679047,2541.4680571793406,stop,-301.7966548272126,6.897146499686393,0.35345054952,-309.04725187641895,529.0
short,2.746,1741539600000,1742236440000,2047.6003980000003,1948.5604437864854,2153.5550193055296,stop,271.96371427031187,5.486728835772845,-2.2408089579248003,268.7177943924638,11614.0
short,3.502,1750352400000,1750716540000,2486.5225960000002,2388.5116909714225,2572.061864784729,stop,343.23418941007935,8.53618503648696,-1.8651949193728,336.5631992929652,6069.0
long,3.763,1752008400000,1753291140000,2597.8494659999997,3554.1415171734984,2532.497218680236,stop,3598.526988565876,11.574971034840937,48.5654981306081,3538.386519400427,21379.0
short,3.123,1754010000000,1754316000000,3679.273998,3621.2792006306727,3812.476825385152,stop,181.11775218440962,11.399813819661798,-4.2921391986018005,174.01007756334963,5100.0
short,3.094,1757235600000,1757511960000,4298.480132000001,4408.799272347235,4407.9176888094735,stop,-341.32742023434406,13.470161238525172,-7.143356109471401,-347.6542253633978,4606.0
long,2.927,1757581200000,1757593800000,4430.8559940000005,4331.217447383603,4332.083864156434,stop,-291.6420259461953,12.823294481464904,0.0,-304.46532042766023,210.0
short,2.83,1758402000000,1759075620000,4480.883644,4051.59551338816,4568.90838459577,stop,1214.8854096315065,12.073458007704247,-5.44031446366,1208.2522660874622,11227.0
short,2.856,1761181200000,1761281100000,3813.167214,3967.2090447178507,3966.4157615655377,stop,-439.9434685301814,11.11037729744909,-1.1339712240024,-449.9198746036281,1665.0
short,4.561,1764550800000,1764687780000,2834.253036,2918.774037422766,2927.378150610131,stop,-385.50028748923546,13.119778240940619,-2.2835881655288,-396.3364775646473,2283.0
long,4.286,1766984400000,1767001200000,3038.95767,2977.647354090936,2978.2430026914744,stop,-262.77601398624734,12.893584566626874,1.0991413192031998,-276.7687398720774,280.0
